,pipeline,accuracy
125,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6096354814526, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4518641076937))])",0.4309
78,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7131922289839, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.0052068385968))])",0.4309
83,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.6792942366953)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8144315451565))])",0.4309
37,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.59492427808, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4647672298068))])",0.4309
52,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7930148038073, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4175887993224))])",0.4309
58,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.673865911002, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.5263152236761))])",0.4294
54,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7783642585476, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.0661678963176))])",0.4294
88,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.8426504500718)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.9732907614123))])",0.4294
35,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7309731299032, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.488115258015))])",0.4279
55,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7074855525977, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.5226446794138))])",0.4279
96,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6403020381272, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7025185673286))])",0.4265
129,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6881464964692, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1845653404568))])",0.425
42,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7177158060872, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7287257630689))])",0.425
32,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.730595525423)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.9846977096785))])",0.4235
103,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.5270202894963)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8473261080791))])",0.4235
41,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6477116834866, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.3381357077393))])",0.4235
61,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6957284486909, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4710832709543))])",0.4221
56,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.5691135088998, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8157151297041))])",0.4221
60,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.6803858371601)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.552759665282))])",0.4206
104,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6357911796591, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.2024892891409))])",0.4206
122,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.5417651756589, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.3218905839086))])",0.4206
118,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.528625091814, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.865375982133))])",0.4191
101,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.6816081061744)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.283929879165))])",0.4191
50,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.6996156256441)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.9406842610235))])",0.4191
62,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.6677197422997)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.804230248819))])",0.4191
100,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.729835992721)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.9784018953631))])",0.4191
92,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6178278764327, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8213950244135))])",0.4191
102,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.5775200039085, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1960978176461))])",0.4176
84,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6815380583028, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.0511025711459))])",0.4176
79,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.525498165778, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.0580352523219))])",0.4176
64,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6598795935108, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1783861148182))])",0.4176
106,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6029534190197, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8275807751276))])",0.4176
47,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6711132678976, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.9253103033412))])",0.4162
77,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6084784414919, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1509242814216))])",0.4162
117,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6816024121249, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.8527257525627))])",0.4147
81,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.5384638305771, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.9709404231979))])",0.4147
30,"Pipeline(steps=[('feature-pre-processor', SelectPercentile()),
                ('learner', QuadraticDiscriminantAnalysis())])",0.4147
76,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.6325165887962)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.0167515593778))])",0.4132
94,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.5554698030923)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1465622379238))])",0.4118
36,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.5826466763936)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.1367009758445))])",0.4118
116,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.6303736261853)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.3267868657366))])",0.4088
66,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.6427729662402)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.4737306082691))])",0.4059
86,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.519903739434, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.7181779636176))])",0.4044
68,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.6741785892481, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.9843725844784))])",0.4044
95,"Pipeline(steps=[('feature-pre-processor', PCA(n_components=0.5798850243085)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.6181748409581))])",0.4044
89,"Pipeline(steps=[('feature-pre-processor',
                 PCA(n_components=0.7446751158208, whiten=True)),
                ('learner',
                 QuadraticDiscriminantAnalysis(reg_param=0.9830423320599))])",0.4
