id,batch_size,n_instances,epochs_trained,efforts,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_seed,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,forecasted_val_acc,score,forecast_gain,fcst_greater_than_baseline,last_train_acc,last_train_loss,last_val_acc,last_val_loss,slope_val_acc,var_val_acc,gap_val_acc
22,256,"[54, 108, 216, 432, 864]",4,"[0.1, 0.4, 1.2000000000000002, 3.2]","[165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165, 165]",constant,33,<class 'torch.nn.modules.activation.GELU'>,0.0,<class 'torch.optim.adam.Adam'>,0.013378784859379596,0.0001,,256,True,kaiming_uniform,exponential,{'gamma': 0.95},286,"[363984.15625, 1531479168.0, 40742.0, 347.5116599754051]","[0.25925925925925924, 0.24074074074074073, 0.2638888888888889, 0.2569444444444444]","[1383955200.0, 43350.8671875, 546.3014526367188, 60.377227783203125]","[0.33088235294117646, 0.23529411764705882, 0.20588235294117646, 0.22794117647058823]",[],[],0.0,0.0,0.0,False,0.2569444444444444,347.5116599754051,0.22794117647058823,60.377227783203125,,,
23,64,"[54, 108, 216, 432, 864]",4,"[0.1, 0.4, 1.2000000000000002, 3.2]","[492, 467, 460, 427, 411, 399, 378, 362, 351, 349, 341, 322, 307, 306, 269, 266, 243, 237, 178, 176, 172, 161, 47, 27, 9]",triangular,25,<class 'torch.nn.modules.activation.Tanh'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.0279896404617504,0.01,,64,False,kaiming_normal,exponential,{'gamma': 0.9},299,"[1.485160231590271, 1.548827643747683, 1.4720525564970794, 1.4075075652864244]","[0.25925925925925924, 0.25925925925925924, 0.25, 0.3425925925925926]","[1.4806780464508955, 1.4937740774715649, 1.584682170082541, 1.3986514596378101]","[0.25735294117647056, 0.2867647058823529, 0.21323529411764705, 0.3161764705882353]",[],[],0.0,0.0,0.0,False,0.3425925925925926,1.4075075652864244,0.3161764705882353,1.3986514596378101,,,
24,512,"[54, 108, 216, 432, 864]",4,"[0.1, 0.4, 1.2000000000000002, 3.2]","[500, 498, 484, 442, 442, 441, 434, 428, 412, 404, 394, 386, 380, 371, 355, 354, 339, 236, 228, 201, 198, 173, 170, 168, 166, 165, 155, 143, 141, 132, 121, 107, 101, 95, 86, 81, 80, 78, 64, 58, 27, 19, 5]",pyramid,43,<class 'torch.nn.modules.activation.LeakyReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.00023459228301529465,1e-06,,512,False,xavier_normal,none,{},312,"[1.4003714323043823, 1.4010281562805176, 1.403204321861267, 1.4027997255325317]","[0.24074074074074073, 0.23148148148148148, 0.23148148148148148, 0.22916666666666666]","[1.4050569534301758, 1.405085563659668, 1.4050730466842651, 1.405055046081543]","[0.22058823529411764, 0.22058823529411764, 0.22058823529411764, 0.22058823529411764]",[],[],0.0,0.0,0.0,False,0.22916666666666666,1.4027997255325317,0.22058823529411764,1.405055046081543,,,
25,512,"[54, 108, 216, 432, 864]",4,"[0.1, 0.4, 1.2000000000000002, 3.2]","[493, 477, 474, 471, 453, 443, 435, 372, 351, 349, 340, 337, 316, 308, 291, 287, 263, 258, 243, 231, 185, 127, 126, 124, 105, 102, 99, 90, 74, 65, 64, 59, 49, 44, 40, 14, 6]",pyramid,37,<class 'torch.nn.modules.activation.ELU'>,0.2,<class 'torch.optim.adam.Adam'>,0.0013932772894289813,1e-05,,512,False,xavier_uniform,step,"{'step_size': 20, 'gamma': 0.1}",325,"[1.4168890714645386, 1.410544514656067, 1.4558415412902832, 1.411246657371521]","[0.2222222222222222, 0.28703703703703703, 0.21296296296296297, 0.25462962962962965]","[1.4068714380264282, 1.383976936340332, 1.3661623001098633, 1.3649262189865112]","[0.21323529411764705, 0.3088235294117647, 0.33088235294117646, 0.33088235294117646]",[],[],0.0,0.0,0.0,False,0.25462962962962965,1.411246657371521,0.33088235294117646,1.3649262189865112,,,
26,256,"[54, 108, 216, 432, 864]",4,"[0.1, 0.4, 1.2000000000000002, 3.2]","[428, 256, 242, 146, 105, 105, 146, 242, 256, 428]",hourglass,9,<class 'torch.nn.modules.activation.GELU'>,0.4,<class 'torch.optim.adam.Adam'>,0.016489553879167614,0.01,,256,False,kaiming_uniform,exponential,{'gamma': 0.9},338,"[8.380131721496582, 42.18027114868164, 5.788183689117432, 2.2448632452223034]","[0.2037037037037037, 0.28703703703703703, 0.2361111111111111, 0.2777777777777778]","[7.334580421447754, 1.3873971700668335, 1.379218578338623, 1.4162569046020508]","[0.19852941176470587, 0.2426470588235294, 0.19117647058823528, 0.25735294117647056]",[],[],0.0,0.0,0.0,False,0.2777777777777778,2.2448632452223034,0.25735294117647056,1.4162569046020508,,,
27,1024,"[54, 108, 216, 432, 864]",4,"[0.1, 0.4, 1.2000000000000002, 3.2]","[19, 48, 65, 111, 115, 121, 132, 139, 139, 142, 143, 154, 166, 179, 202, 208, 226, 236, 242, 249, 258, 261, 285, 320, 327, 341, 352, 374, 375, 380, 381, 392, 400, 412, 416, 419, 441, 441, 443, 470, 488]",triangular,41,<class 'torch.nn.modules.activation.ELU'>,0.2,<class 'torch.optim.sgd.SGD'>,0.00030872135837535346,0.0001,0.8,1024,True,kaiming_normal,cosine,{'T_max': 100},351,"[311.6531677246094, 869.9708251953125, 98.56746673583984, 59.48823165893555]","[0.24074074074074073, 0.25925925925925924, 0.23148148148148148, 0.25]","[24.603199005126953, 11.490336418151855, 9.337013244628906, 7.58482551574707]","[0.21323529411764705, 0.19852941176470587, 0.22794117647058823, 0.25735294117647056]",[],[],0.0,0.0,0.0,False,0.25,59.48823165893555,0.25735294117647056,7.58482551574707,,,
28,1024,"[54, 108, 216, 432, 864]",4,"[0.1, 0.4, 1.2000000000000002, 3.2]","[257, 257]",constant,2,<class 'torch.nn.modules.activation.ReLU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.0010080625662498132,1e-06,0.9,1024,True,xavier_uniform,cosine,{'T_max': 10},364,"[1.386299729347229, 1.388073444366455, 1.391325831413269, 1.3962397575378418]","[0.2777777777777778, 0.2777777777777778, 0.27314814814814814, 0.2708333333333333]","[1.4176729917526245, 1.4165966510772705, 1.4150280952453613, 1.4130358695983887]","[0.20588235294117646, 0.21323529411764705, 0.21323529411764705, 0.21323529411764705]",[],[],0.0,0.0,0.0,False,0.2708333333333333,1.3962397575378418,0.21323529411764705,1.4130358695983887,,,
29,64,"[54, 108, 216, 432, 864]",4,"[0.1, 0.4, 1.2000000000000002, 3.2]","[12, 44, 93, 127, 128, 176, 177, 248, 257, 277, 330, 388, 406, 430, 433, 446, 496]",triangular,17,<class 'torch.nn.modules.activation.Sigmoid'>,0.0,<class 'torch.optim.rmsprop.RMSprop'>,0.00013588684703374503,1e-05,,64,True,kaiming_normal,cosine,{'T_max': 100},377,"[1.4331927299499512, 1.4293989340464275, 1.4103803060672901, 1.4324344396591187]","[0.25925925925925924, 0.2777777777777778, 0.2361111111111111, 0.22685185185185186]","[1.5777604790294872, 1.4451448496650248, 1.589717521386988, 1.4143779418047737]","[0.21323529411764705, 0.23529411764705882, 0.21323529411764705, 0.21323529411764705]",[],[],0.0,0.0,0.0,False,0.22685185185185186,1.4324344396591187,0.21323529411764705,1.4143779418047737,,,
30,1024,"[54, 108, 216, 432, 864]",4,"[0.1, 0.4, 1.2000000000000002, 3.2]","[9, 15, 27, 37, 39, 47, 52, 90, 99, 113, 114, 136, 143, 158, 162, 163, 179, 227, 235, 243, 248, 263, 265, 274, 278, 319, 322, 327, 336, 354, 354, 374, 391, 435, 462, 477, 487, 498]",triangular,38,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.sgd.SGD'>,0.07377914585878594,0.01,0.9,1024,False,xavier_normal,exponential,{'gamma': 0.99},390,"[1.3855445384979248, 1.3857614994049072, 1.3857992887496948, 1.385345220565796]","[0.2777777777777778, 0.25, 0.25462962962962965, 0.2638888888888889]","[1.3871538639068604, 1.3872989416122437, 1.3875077962875366, 1.3877520561218262]","[0.23529411764705882, 0.23529411764705882, 0.23529411764705882, 0.23529411764705882]",[],[],0.0,0.0,0.0,False,0.2638888888888889,1.385345220565796,0.23529411764705882,1.3877520561218262,,,
31,64,"[54, 108, 216, 432, 864]",4,"[0.1, 0.4, 1.2000000000000002, 3.2]","[79, 85, 140, 196, 247, 273, 286, 363, 378, 384, 384, 404, 413, 434, 452, 461, 462]",triangular,17,<class 'torch.nn.modules.activation.Sigmoid'>,0.3,<class 'torch.optim.sgd.SGD'>,0.012110748871506266,0.0,0.95,64,True,xavier_normal,none,{},403,"[1.500578761100769, 1.4412041549329404, 1.4398762517505221, 1.4231665001975164]","[0.2222222222222222, 0.24074074074074073, 0.25462962962962965, 0.25925925925925924]","[1.4197874419829424, 1.4068075488595402, 1.3873763435027178, 1.3757778055527632]","[0.22058823529411764, 0.23529411764705882, 0.33088235294117646, 0.33088235294117646]",[],[],0.0,0.0,0.0,False,0.25925925925925924,1.4231665001975164,0.33088235294117646,1.3757778055527632,,,
