id,batch_size,n_instances,epochs_trained,batches_trained,efforts,cumulative_effort,cumulative_times,arch_hidden_layers,arch_shape,arch_depth,arch_activation_fn,arch_dropout_rate,arch_optimizer_type,arch_learning_rate,arch_weight_decay,arch_momentum,arch_batch_size,arch_use_skip_connections,arch_initializer,arch_lr_scheduler,arch_scheduler_params,arch_rng_state,train_loss,train_acc,val_loss,val_acc,forecasted_val_acc,score,fcst_greater_than_baseline,wall_times_per_batch,epoch_batches,last_train_acc,last_train_loss,last_val_acc,last_val_loss,total_epoch_time,avg_epoch_time,forecast_horizon_time,forecast_horizon_effort,forecast_CI_low,forecast_CI_high
11,1024,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[90, 80, 11, 59]",irregular,4,<class 'torch.nn.modules.activation.ReLU'>,0.1,<class 'torch.optim.adam.Adam'>,0.018108476019739427,0.001,,1024,False,xavier_uniform,step,"{'step_size': 20, 'gamma': 0.5}",None,"[1.1731992959976196, 1.097785234451294, 1.0544503927230835]","[0.20212765038013458, 0.3435114622116089, 0.4207650125026703]","[1.0965999364852905, 1.0504968166351318, 1.0287944078445435]","[0.3644067796610169, 0.4279661016949153, 0.4279661016949153]",0.47796610169491527,0.0,False,"[0.001998424530029297, 0.0020952224731445312, 0.0010018348693847656]","[1, 1, 1, 1, 1, 1]",0.4207650125026703,1.0544503927230835,0.4279661016949153,1.0287944078445435,0.0,0.0,,,,
12,32,"[94, 131, 183, 256]",3,14,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","[100, 94, 86, 78, 70, 70, 65, 59, 58, 54, 45, 43, 34, 32, 31, 14, 3]",pyramid,17,<class 'torch.nn.modules.activation.Tanh'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.0018349241031748401,0.01,,32,True,xavier_normal,cosine,{'T_max': 50},None,"[1.0859445333480835, 1.3580857515335083, 1.3105963468551636, 1.0876065492630005, 1.3220300674438477, 1.343147873878479, 1.4369010925292969, 1.1200679540634155, 1.3106019496917725, 1.0627657175064087, 1.4006699323654175, 1.1174383163452148, 1.2170976400375366, 1.1829211711883545]","[0.46875, 0.375, 0.20000001788139343, 0.53125, 0.3125, 0.25, 0.21875, 0.3333333432674408, 0.1875, 0.40625, 0.21875, 0.46875, 0.375, 0.3478260934352875]","[1.1717474652548967, 1.2369307562456293, 1.1221043932235848, 1.2051825260711928, 1.2315248907622645, 1.1864595675872545, 1.146824159864652, 1.1134866839748319, 1.1113379385511755, 1.124425456685535, 1.12402447401467, 1.1088366225614386, 1.1019662699456942, 1.0937929395901955]","[0.3177966101694915, 0.3559322033898305, 0.3601694915254237, 0.3516949152542373, 0.3432203389830508, 0.3771186440677966, 0.22033898305084745, 0.4322033898305085, 0.4067796610169492, 0.4322033898305085, 0.3644067796610169, 0.4322033898305085, 0.4406779661016949, 0.4152542372881356]",0.4027541296054961,0.0,False,"[0.008508443832397461, 0.004999399185180664, 0.005001068115234375, 0.005997180938720703, 0.0039997100830078125, 0.00400233268737793, 0.003998279571533203, 0.004002094268798828, 0.0029973983764648438, 0.002999544143676758, 0.005999088287353516, 0.003998279571533203, 0.0039997100830078125, 0.005001068115234375]","[3, 3, 5, 5, 6, 6]",0.3478260934352875,1.1829211711883545,0.4152542372881356,1.0937929395901955,0.0,0.0,3014.0,3014.0,0.31578172147988776,0.48972653773110447
13,32,"[94, 131, 183, 256]",3,14,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","[22, 38, 61, 50, 63, 98, 49, 90, 38, 65, 95, 80, 83, 26, 18, 49, 3, 74, 28, 35, 44, 39]",irregular,22,<class 'torch.nn.modules.activation.ReLU'>,0.5,<class 'torch.optim.sgd.SGD'>,0.011008160757554574,0.0,0.95,32,False,xavier_normal,none,{},None,"[1.0735429525375366, 1.0302050113677979, 1.1661949157714844, 1.1608974933624268, 1.0563349723815918, 1.1616020202636719, 1.0525974035263062, 0.9571857452392578, 1.0858787298202515, 1.0867664813995361, 1.0841296911239624, 0.9955763220787048, 1.133994221687317, 1.0524418354034424]","[0.375, 0.46875, 0.3333333432674408, 0.25, 0.5, 0.3125, 0.5, 0.3333333432674408, 0.40625, 0.40625, 0.40625, 0.5625, 0.375, 0.3478260934352875]","[1.0855150424827964, 1.084589038865041, 1.0843343007362496, 1.0838803962125616, 1.0827853679656982, 1.082113900427091, 1.0813675835981207, 1.0798664921421115, 1.0779506715677551, 1.0764646045232222, 1.0753164190357014, 1.0741200103598125, 1.0731258291309163, 1.0722317372338246]","[0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153]",0.43154709168451943,0.0,False,"[0.005998849868774414, 0.005003452301025391, 0.008013010025024414, 0.004999637603759766, 0.004000663757324219, 0.004999399185180664, 0.004505634307861328, 0.0070002079010009766, 0.004000186920166016, 0.003999948501586914, 0.004031181335449219, 0.010002374649047852, 0.004998683929443359, 0.004998445510864258]","[3, 3, 5, 5, 6, 6]",0.3478260934352875,1.0524418354034424,0.4279661016949153,1.0722317372338246,0.0,0.0,3014.0,3014.0,0.3367032848099738,0.5263908985590651
14,1024,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[99, 84, 82, 75, 63, 59, 59, 55, 50, 15]",pyramid,10,<class 'torch.nn.modules.activation.GELU'>,0.5,<class 'torch.optim.adam.Adam'>,0.0006465197191702889,0.01,,1024,True,kaiming_uniform,exponential,{'gamma': 0.95},None,"[15.891366958618164, 16.33690071105957, 16.164627075195312]","[0.27659574151039124, 0.32824426889419556, 0.2786885201931]","[1.2421613931655884, 1.2211543321609497, 1.2034287452697754]","[0.2584745762711864, 0.2754237288135593, 0.2711864406779661]",0.3211864406779661,0.0,False,"[0.0030007362365722656, 0.002999544143676758, 0.0030012130737304688]","[1, 1, 1, 1, 1, 1]",0.2786885201931,16.164627075195312,0.2711864406779661,1.2034287452697754,0.0,0.0,,,,
15,1024,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[100, 95, 91, 84, 67, 65, 62, 61, 55, 55, 54, 49, 40, 40, 33, 28, 26, 23, 14, 7, 7]",triangular,21,<class 'torch.nn.modules.activation.ELU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.002097745738193699,0.0,,1024,True,kaiming_uniform,exponential,{'gamma': 0.9},None,"[5.457864761352539, 3.8601531982421875, 3.852574348449707]","[0.3085106313228607, 0.32824426889419556, 0.30054643750190735]","[1.180789828300476, 1.1730901002883911, 1.1426163911819458]","[0.3135593220338983, 0.326271186440678, 0.3347457627118644]",0.3847457627118644,0.0,False,"[0.00999903678894043, 0.005000591278076172, 0.008018732070922852]","[1, 1, 1, 1, 1, 1]",0.30054643750190735,3.852574348449707,0.3347457627118644,1.1426163911819458,0.0,0.0,,,,
16,64,"[94, 131, 183, 256]",3,8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]","[70, 58, 54, 51, 49, 40, 33, 29, 24, 21, 21, 20, 16, 3]",pyramid,14,<class 'torch.nn.modules.activation.GELU'>,0.1,<class 'torch.optim.rmsprop.RMSprop'>,0.013239425911802872,0.0001,,64,True,kaiming_uniform,exponential,{'gamma': 0.95},None,"[1.8806912899017334, 58.3189697265625, 1.1623376607894897, 1.211622953414917, 0.7707357406616211, 1.1008561849594116, 1.1095293760299683, 1.0678133964538574]","[0.296875, 0.2666666805744171, 0.34375, 0.375, 1.0, 0.46875, 0.375, 0.3999999761581421]","[32.980009693210405, 1.108409705808607, 1.11356739876634, 1.0843738943843517, 1.1139453689930803, 1.0842837479154943, 1.0817088030152402, 1.0922163502644684]","[0.3474576271186441, 0.3601694915254237, 0.3644067796610169, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.423728813559322, 0.4279661016949153]",0.43562287242591996,0.0,False,"[0.003999471664428711, 0.003505229949951172, 0.003999233245849609, 0.003000497817993164, 0.005000591278076172, 0.003000497817993164, 0.004002571105957031, 0.0025060176849365234]","[2, 2, 3, 3, 3, 3]",0.3999999761581421,1.0678133964538574,0.4279661016949153,1.0922163502644684,0.0,0.0,1508.0,1508.0,0.31491861514394714,0.5563271297078928
17,128,"[94, 131, 183, 256]",3,5,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[1.0, 2.0, 3.0, 4.0, 5.0]","[94, 91, 87, 87, 75, 75, 75, 74, 74, 71, 68, 67, 67, 57, 53, 52, 35, 26, 25, 24, 21, 20, 13, 6, 5]",pyramid,25,<class 'torch.nn.modules.activation.ReLU'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.001504843371654464,0.0,,128,True,kaiming_normal,exponential,{'gamma': 0.9},None,"[76.00846862792969, 8.18425178527832, 1.8291574716567993, 4.833484172821045, 4.418802261352539]","[0.3723404109477997, 0.3671875, 0.0, 0.453125, 0.27272725105285645]","[1.1158963057954432, 1.1155844118635534, 1.1201132010605375, 1.1258474790443809, 1.1267213174852275]","[0.3474576271186441, 0.3474576271186441, 0.3474576271186441, 0.3474576271186441, 0.3474576271186441]",0.33521761631668373,0.0,False,"[0.00799870491027832, 0.00902247428894043, 0.006505012512207031, 0.004998445510864258, 0.005999326705932617]","[1, 1, 2, 2, 2, 2]",0.27272725105285645,4.418802261352539,0.3474576271186441,1.1267213174852275,0.0,0.0,805.0,805.0,0.18870550042515424,0.48172973220821325
18,1024,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14]",constant,16,<class 'torch.nn.modules.activation.GELU'>,0.0,<class 'torch.optim.sgd.SGD'>,0.0017106775383840982,1e-05,0.8,1024,False,xavier_normal,cosine,{'T_max': 50},None,"[1.0997203588485718, 1.0983023643493652, 1.0993268489837646]","[0.42553189396858215, 0.42748090624809265, 0.4262295067310333]","[1.0989181995391846, 1.098836064338684, 1.098724126815796]","[0.4279661016949153, 0.4279661016949153, 0.4279661016949153]",0.47796610169491527,0.0,False,"[0.003998517990112305, 0.004000186920166016, 0.002997875213623047]","[1, 1, 1, 1, 1, 1]",0.4262295067310333,1.0993268489837646,0.4279661016949153,1.098724126815796,0.0,0.0,,,,
19,512,"[94, 131, 183, 256]",3,3,"[1.0, 1.0, 1.0]","[1.0, 2.0, 3.0]","[1.0, 2.0, 3.0]","[41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41, 41]",constant,23,<class 'torch.nn.modules.activation.Tanh'>,0.0,<class 'torch.optim.adamw.AdamW'>,0.0008204407187357085,0.001,,512,False,kaiming_uniform,none,{},None,"[1.207461953163147, 1.083081603050232, 1.047516942024231]","[0.28723403811454773, 0.32824426889419556, 0.41530054807662964]","[1.0738184452056885, 1.0531632900238037, 1.0480756759643555]","[0.3898305084745763, 0.4449152542372881, 0.4364406779661017]",0.4864406779661017,0.0,False,"[0.0069963932037353516, 0.004000663757324219, 0.005998373031616211]","[1, 1, 1, 1, 1, 1]",0.41530054807662964,1.047516942024231,0.4364406779661017,1.0480756759643555,0.0,0.0,,,,
20,64,"[94, 131, 183, 256]",3,8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0]","[91, 19, 42, 28, 46, 41, 90, 83, 56, 45]",irregular,10,<class 'torch.nn.modules.activation.ReLU'>,0.2,<class 'torch.optim.adamw.AdamW'>,0.00022837502942526245,0.01,,64,True,kaiming_uniform,step,"{'step_size': 20, 'gamma': 0.5}",None,"[1.601453185081482, 1.599640130996704, 1.5217041969299316, 1.5167871713638306, 1.7028746604919434, 1.854745864868164, 1.6041758060455322, 1.4509679079055786]","[0.296875, 0.3333333432674408, 0.234375, 0.328125, 0.3333333432674408, 0.265625, 0.3125, 0.290909081697464]","[1.059438491271714, 1.0547753350209381, 1.05127829414303, 1.0489492891198497, 1.0482979406744748, 1.0480417558702373, 1.0476042678800679, 1.0471731747611095]","[0.4194915254237288, 0.4279661016949153, 0.4279661016949153, 0.4322033898305085, 0.4322033898305085, 0.4279661016949153, 0.4279661016949153, 0.4322033898305085]",0.4298709536154607,0.0,False,"[0.00400090217590332, 0.002999544143676758, 0.0029985904693603516, 0.0030002593994140625, 0.0019998550415039062, 0.0025014877319335938, 0.0030007362365722656, 0.0030012130737304688]","[2, 2, 3, 3, 3, 3]",0.290909081697464,1.4509679079055786,0.4322033898305085,1.0471731747611095,0.0,0.0,1508.0,1508.0,0.29767267416163445,0.5620692330692869
21,32,"[94, 131, 183, 256]",3,14,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0]","[65, 38, 17]",pyramid,3,<class 'torch.nn.modules.activation.Sigmoid'>,0.3,<class 'torch.optim.rmsprop.RMSprop'>,0.0014971632994811087,0.001,,32,False,kaiming_normal,exponential,{'gamma': 0.99},None,"[1.0858840942382812, 1.1245638132095337, 1.145473837852478, 1.076744556427002, 0.9982476234436035, 1.2035646438598633, 1.1004467010498047, 0.8539705276489258, 1.1401695013046265, 1.0326894521713257, 1.0424762964248657, 1.1409895420074463, 1.1281239986419678, 1.0427078008651733]","[0.375, 0.25, 0.30000001192092896, 0.40625, 0.5625, 0.34375, 0.28125, 0.6666666865348816, 0.34375, 0.5, 0.5625, 0.375, 0.3125, 0.3913043439388275]","[1.0838370141336473, 1.0669706574941085, 1.0671299312074305, 1.06434454756268, 1.064154346110457, 1.0626866484092454, 1.0649541091110746, 1.062810382600558, 1.0630500751026606, 1.0619955487170463, 1.062483324842938, 1.0622528346918396, 1.0609947968337496, 1.0614603030479561]","[0.3855932203389831, 0.4279661016949153, 0.4194915254237288, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153, 0.4279661016949153]",0.43404088351916714,0.0,False,"[0.005036592483520508, 0.0010018348693847656, 0.002000093460083008, 0.0009999275207519531, 0.0009999275207519531, 0.0009996891021728516, 0.0009984970092773438, 0.0009996891021728516, 0.0009996891021728516, 0.0009999275207519531, 0.0020003318786621094, 0.0019991397857666016, 0.0009992122650146484, 0.0009999275207519531]","[3, 3, 5, 5, 6, 6]",0.3913043439388275,1.0427078008651733,0.4279661016949153,1.0614603030479561,0.0,0.0,3014.0,3014.0,0.3395714770377795,0.5285102900005547
